Designator,Mid X,Mid Y,Rotation,Layer
C1,162.01618,-92.27368,0.0,bottom
C2,162.01618,-89.27368,0.0,bottom
C3,156.07868,-92.27368,0.0,bottom
IN1,136.73868,-118.535,180.0,bottom
OUT1,181.73868,-118.535,180.0,bottom
R1,156.07868,-86.27368,0.0,bottom
R2,162.01618,-86.27368,0.0,bottom
U1,160.97868,-97.11,180.0,top
U2,159.19,-108.935,0.0,top
