Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J10, J2, J3, J4, J5, J6, J7, J8, J9",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,10,Conn_01x03,
U1,RaceTrackr Interface Board Reference,1,~,
