Designator,Mid X,Mid Y,Rotation,Layer
J1,103.836666,-102.8275,270.0,top
J2,122.051666,-100.1725,180.0,top
J3,141.106666,-100.1725,180.0,top
J4,113.161666,-114.3125,0.0,top
J5,132.216666,-114.3125,0.0,top
