Designator,Mid X,Mid Y,Rotation,Layer
D4,146.75,-62.0,0.0,top
J1,139.83,-72.0,270.0,top
R1,118.25,-69.5,90.0,top
R2,146.75,-67.25,0.0,top
R3,146.75,-64.5,0.0,top
U3,122.55,-69.5,270.0,top
U4,120.75,-63.75,0.0,top
