Designator,Mid X,Mid Y,Rotation,Layer
D1,138.8925,-76.95,0.0,top
D2,132.9175,-76.95,0.0,top
IGNITION,132.105,-55.635,0.0,top
J3,146.145,-60.675,270.0,top
J4,133.405,-86.805,0.0,top
PWM,132.105,-64.175,0.0,top
R1,127.105,-56.91,90.0,top
R2,127.105,-65.45,90.0,top
R3,144.875,-55.615,0.0,top
R4,138.8925,-73.95,0.0,top
R5,132.905,-73.95,0.0,top
U3,135.83632,-92.83632,0.0,top
